Date,Clicks,Impressions,CTR,Position
2021-01-03,51256,2278653,2.25%,21.56
2021-01-02,43915,1786158,2.46%,25.63
2021-01-01,36909,1501231,2.46%,26.27
2020-12-31,34035,1460116,2.33%,26.2
2020-12-30,46493,1803825,2.58%,23.86
2020-12-29,51459,1976748,2.60%,22.9
2020-12-28,52482,2036979,2.58%,23.53
2020-12-27,45969,1760005,2.61%,25.02
2020-12-26,38987,1681553,2.32%,25.13
2020-12-25,32924,1483275,2.22%,27.14
2020-12-24,34063,1611074,2.11%,26.79
2020-12-23,43625,1964932,2.22%,24.01
2020-12-22,47822,2009789,2.38%,23.79
2020-12-21,49318,2026567,2.43%,24.04
2020-12-20,40827,1757272,2.32%,25.6
2020-12-19,36103,1654194,2.18%,26.4
2020-12-18,44620,1923593,2.32%,24.42
2020-12-17,52815,2155794,2.45%,23
2020-12-16,54210,2210307,2.45%,22.32
2020-12-15,53248,2148118,2.48%,23.54
2020-12-14,54753,2169858,2.52%,23.02
2020-12-13,42742,1773367,2.41%,25.49
2020-12-12,37581,1642953,2.29%,26.69
2020-12-11,45650,1941326,2.35%,24.62
2020-12-10,52263,2232090,2.34%,25.3
2020-12-09,54273,2234449,2.43%,23.43
2020-12-08,56216,2344167,2.40%,22.59
2020-12-07,57690,2337079,2.47%,22.54
2020-12-06,45605,1952563,2.34%,24.18
2020-12-05,40809,1783778,2.29%,25.37
2020-12-04,50344,2066215,2.44%,22.03
2020-12-03,46984,1899309,2.47%,21.38
2020-12-02,43097,1787372,2.41%,21.61
2020-12-01,43604,1801527,2.42%,21.48
2020-11-30,43642,1785027,2.44%,21.64
2020-11-29,33991,1458667,2.33%,24.47
2020-11-28,29200,1317624,2.22%,25.24
2020-11-27,34383,1492321,2.30%,23.19
2020-11-26,38534,1639842,2.35%,22.54
2020-11-25,42150,1814840,2.32%,22.41
2020-11-24,45262,1923967,2.35%,22.06
2020-11-23,46299,1917811,2.41%,21.14
2020-11-22,36520,1542147,2.37%,23.08
2020-11-21,32073,1379707,2.32%,23.6
2020-11-20,39779,1676275,2.37%,22.33
2020-11-19,46379,1839494,2.52%,21.5
2020-11-18,47629,1882836,2.53%,21.33
2020-11-17,47810,1839880,2.60%,20.62
2020-11-16,45693,1750947,2.61%,20.83
2020-11-15,34854,1432662,2.43%,23.83
2020-11-14,28718,1257006,2.28%,24.67
2020-11-13,36858,1531892,2.41%,22.73
2020-11-12,43312,1733188,2.50%,21.56
2020-11-11,44248,1733763,2.55%,21.64
2020-11-10,45183,1743151,2.59%,21.27
2020-11-09,45404,1806696,2.51%,21.96
2020-11-08,34071,1472732,2.31%,23.93
2020-11-07,28583,1347228,2.12%,25.17
2020-11-06,37212,1638067,2.27%,23.16
2020-11-05,43120,1816716,2.37%,22.22
2020-11-04,41993,1810357,2.32%,22.51
2020-11-03,42776,1834895,2.33%,22.35
2020-11-02,44274,1828123,2.42%,21.96
2020-11-01,34888,1502177,2.32%,23.38
2020-10-31,27956,1254213,2.23%,24.09
2020-10-30,37486,1580717,2.37%,22.09
2020-10-29,42739,1790789,2.39%,21.97
2020-10-28,44850,1838830,2.44%,21.39
2020-10-27,46536,1849897,2.52%,20.69
2020-10-26,45363,1819482,2.49%,21.07
2020-10-25,32615,1469333,2.22%,23.51
2020-10-24,28967,1335863,2.17%,24.18
2020-10-23,37988,1588709,2.39%,22.99
2020-10-22,44636,1723312,2.59%,21.37
2020-10-21,45927,1756396,2.61%,21.11
2020-10-20,46384,1747229,2.65%,20.94
2020-10-19,46797,1743659,2.68%,21.18
2020-10-18,33949,1339596,2.53%,23.42
2020-10-17,29400,1224296,2.40%,25.16
2020-10-16,38881,1579342,2.46%,22.6
2020-10-15,44295,1722342,2.57%,21.34
2020-10-14,45100,1756869,2.57%,21.8
2020-10-13,46083,1798560,2.56%,21.58
2020-10-12,44559,1724425,2.58%,22.35
2020-10-11,33219,1390224,2.39%,25.11
2020-10-10,29134,1261154,2.31%,26.14
2020-10-09,38811,1632760,2.38%,22.28
2020-10-08,44368,1685572,2.63%,22.03
2020-10-07,45280,1711534,2.65%,21.64
2020-10-06,45382,1653192,2.75%,21.25
2020-10-05,45005,1653996,2.72%,22.06
2020-10-04,32626,1401345,2.33%,25.15
