Page,Clicks,Impressions,CTR,Position
https://hackernoon.com/how-to-hack-whatsapp-chats-9f203tq0,113124,840284,13.46%,7.83
https://hackernoon.com/,33894,180975,18.73%,38.17
https://hackernoon.com/heres-how-to-fix-your-ethernet-if-its-not-working-7r6y3yxw,32820,503770,6.51%,8.28
https://hackernoon.com/10-best-free-apps-to-track-a-cell-phone-location-5625b31ec,20899,5251174,0.40%,14.4
https://hackernoon.com/how-much-do-uber-eats-drivers-make-f0u33lc,18604,439766,4.23%,10.69
https://hackernoon.com/50-data-structure-and-algorithms-interview-questions-for-programmers-b4b1ac61f5b0,17865,262481,6.81%,15.67
https://hackernoon.com/9-popular-cross-platform-tools-for-app-development-in-2019-53765004761b,16353,373989,4.37%,18.91
https://hackernoon.com/5-best-free-proxy-servers-to-visit-sites-anonymously-in-2020-w73e3tdv,15252,620945,2.46%,13.36
https://hackernoon.com/top-16-types-of-chart-in-data-visualization-hrh32wv,15232,438281,3.48%,9.49
https://hackernoon.com/how-to-change-a-file-s-last-modified-and-creation-dates-on-mac-os-x-494f8f76cdf4,14874,96220,15.46%,12.37
https://hackernoon.com/installation-of-vnc-server-on-ubuntu-1cf035370bd3,14580,139721,10.44%,11.04
https://hackernoon.com/10-data-structure-algorithms-books-every-programmer-should-read-d50487313127,14012,145237,9.65%,11.98
https://hackernoon.com/page-fault-in-nonpaged-area-bsod-error-on-windows-10-solved-986qg2ed9,13175,320420,4.11%,7.28
https://hackernoon.com/u/CallofDutyMobile2020Hack,13113,82006,15.99%,9.42
https://hackernoon.com/how-to-earn-bitcoin-5-simple-ways-to-earn-more-btc-40ecfd1480c4,12269,340789,3.60%,20.94
https://hackernoon.com/understanding-the-underscore-of-python-309d1a029edc,12177,211699,5.75%,11.75
https://hackernoon.com/30-jokes-only-programmers-will-get-a901e1cea549,11905,97087,12.26%,6.99
https://hackernoon.com/fix-kmode-exception-not-handled-windows-10-eu5ck2dqy,11784,246762,4.78%,9.78
https://hackernoon.com/what-is-one-hot-encoding-why-and-when-do-you-have-to-use-it-e3c6186d008f,11339,177314,6.39%,6.76
https://hackernoon.com/@easycoins-8ball,11253,180664,6.23%,11.08
https://hackernoon.com/top-25-flutter-mobile-app-templates-in-2020-dze53uq4,10892,115009,9.47%,17.93
